No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
1,WISEA J030659.04-072531.5,46.74604,-7.42544,IrS,,,,     ,0.0,0,0,12,1,0,0,0
2,WISEA J030659.05-073952.2,46.74606,-7.66451,*,,,,15.9g,0.0,0,0,27,4,0,4,0
3,WISEA J030659.09-074720.9,46.74613,-7.78921,*,,,,19.6g,0.0,0,0,17,2,0,4,0
4,WISEA J030659.07-081054.8,46.74614,-8.18189,IrS,,,,     ,0.0,0,0,12,1,0,0,0
5,WISEA J030659.07-073721.7,46.74614,-7.6227,IrS,,,,     ,0.0,0,0,12,1,0,0,0
6,WISEA J030659.07-071317.5,46.74614,-7.22155,*,,,,20.4g,0.0,0,0,23,3,0,4,0
7,SDSS J030659.07-074813.7,46.74614,-7.80382,*,,,,22.0g,0.0,0,0,5,1,0,4,0
8,WISEA J030659.08-080615.0,46.74617,-8.10417,G,,,,21.9g,0.0,0,0,27,2,0,3,0
9,WISEA J030659.03-075011.3,46.74619,-7.83643,*,,,,21.0g,0.0,0,0,17,2,0,4,0
10,WISEA J030659.09-073210.3,46.74623,-7.5362,IrS,,,,     ,0.0,0,0,12,1,0,0,0
11,WISEA J030659.10-075136.8,46.74626,-7.86025,IrS,,,,     ,0.0,0,0,12,1,0,0,0
12,WISEA J030659.10-075340.2,46.74628,-7.89451,IrS,,,,     ,0.0,0,0,12,1,0,0,0
13,WISEA J030659.11-074420.6,46.74633,-7.73906,G,,,,19.5g,0.0,0,0,34,4,0,4,0
14,SDSS J030659.12-074853.3,46.74635,-7.81482,G,,,,22.4g,0.0,0,0,15,1,0,4,0
15,WISEA J030659.12-081253.8,46.74635,-8.21496,IrS,,,,     ,0.0,0,0,12,1,0,0,0
16,WISEA J030659.13-082248.5,46.74641,-8.38016,*,,,,20.1g,0.0,0,0,23,3,0,4,0
17,WISEA J030659.15-072740.9,46.74648,-7.46138,G,,,,19.0g,0.0,1,0,33,3,0,4,0
18,SDSS J030659.15-081717.6,46.74649,-8.28825,*,,,,22.5g,0.0,0,0,5,1,0,4,0
19,WISEA J030659.15-081343.1,46.74649,-8.22864,*,,,,22.6g,0.0,0,0,17,2,0,4,0
20,WISEA J030659.18-074637.4,46.74651,-7.77708,*,,,,22.3g,0.0,0,0,17,2,0,4,0
21,WISEA J030659.18-074138.6,46.74661,-7.69408,G,10884.0,0.036305,SLS ,17.7g,0.0,12,0,41,7,4,4,0
22,WISEA J030659.19-081007.2,46.74664,-8.16868,IrS,,,,     ,0.0,0,0,12,1,0,0,0
23,WISEA J030659.19-071610.9,46.74665,-7.26971,G,,,,23.4g,0.0,0,0,27,2,0,4,0
24,WISEA J030659.21-073313.2,46.74673,-7.55367,*,,,,18.6g,0.0,0,0,23,3,0,4,0
25,WISEA J030659.22-082604.0,46.74677,-8.43445,IrS,,,,     ,0.0,0,0,12,1,0,0,0
26,WISEA J030659.23-080807.3,46.74683,-8.13539,*,,,,21.6g,0.0,0,0,17,2,0,4,0
27,WISEA J030659.23-074535.6,46.74683,-7.75991,*,,,,14.0g,0.0,0,0,31,5,0,4,0
28,WISEA J030659.24-080937.5,46.74687,-8.16044,*,,,,22.3g,0.0,0,0,23,3,0,4,0
29,WISEA J030659.26-073918.3,46.74694,-7.65509,IrS,,,,     ,0.0,0,0,12,1,0,0,0
30,WISEA J030659.24-080631.9,46.74694,-8.10886,G,,,,22.4g,0.0,0,0,27,2,0,4,0
31,SDSS J030659.27-082911.8,46.74696,-8.48662,G,,,,21.6g,0.0,0,0,15,1,0,4,0
32,SDSS J030659.28-072844.3,46.74704,-7.47899,G,,,,22.4g,0.0,0,0,15,1,0,4,0
33,SDSS J030659.30-073545.9,46.7471,-7.5961,G,,,,21.6g,0.0,0,0,15,1,0,4,0
34,SDSS J030659.30-080256.4,46.74712,-8.04901,G,,,,22.5g,0.0,0,0,15,1,0,4,0
35,WISEA J030659.32-080253.3,46.74717,-8.04816,IrS,,,,     ,0.0,0,0,12,1,0,0,0
36,APMUKS(BJ) B030432.00-073920.8,46.74719,-7.46391,GGroup,,,,17.52,0.0,0,0,1,1,0,0,1
37,WISEA J030659.32-073514.4,46.7472,-7.58734,IrS,,,,     ,0.0,0,0,12,1,0,0,0
38,WISEA J030659.32-075314.0,46.74721,-7.88723,IrS,,,,     ,0.0,0,0,12,1,0,0,0
39,WISEA J030659.35-071227.8,46.74722,-7.2077,G,,,,24.0g,0.0,0,0,27,2,0,4,0
40,WISEA J030659.38-072432.1,46.74724,-7.40884,*,,,,23.6g,0.0,0,0,17,2,0,4,0
41,SDSS J030659.34-071828.0,46.74727,-7.30779,G,,,,21.2g,0.0,0,0,19,2,0,4,0
42,WISEA J030659.37-071825.8,46.74738,-7.30718,IrS,,,,     ,0.0,0,0,12,1,0,0,0
43,WISEA J030659.37-074038.5,46.74741,-7.67737,G,,,,21.9g,0.0,0,0,27,2,0,4,0
44,APMUKS(BJ) B030431.86-072544.7,46.74742,-7.23721,G,,,,20.48,0.0,0,0,1,1,0,0,0
45,WISEA J030659.38-073444.6,46.74742,-7.57907,IrS,,,,     ,0.0,0,0,12,1,0,0,0
46,WISEA J030659.39-075501.1,46.74746,-7.917,IrS,,,,     ,0.0,0,0,12,1,0,0,0
47,WISEA J030659.40-074346.9,46.74746,-7.72992,G,,,,22.6g,0.0,0,0,27,2,0,4,0
48,WISEA J030659.39-073936.4,46.74749,-7.66011,IrS,,,,     ,0.0,0,0,12,1,0,0,0
49,SDSS J030659.40-074243.5,46.74751,-7.7121,G,,,,22.5g,0.0,0,0,15,1,0,4,0
50,WISEA J030659.41-073904.5,46.74757,-7.65127,IrS,,,,     ,0.0,0,0,12,1,0,0,0
51,2MASX J03065942-0826299,46.74762,-8.44167,G,,,,15.06,0.0,0,0,9,1,0,2,2
52,WISEA J030659.44-080914.4,46.74768,-8.15401,IrS,,,,     ,0.0,0,0,12,1,0,0,0
53,SDSS J030659.44-082627.2,46.74771,-8.4409,*,,,,19.0g,0.0,0,0,5,1,0,4,1
54,WISEA J030659.45-082539.2,46.74771,-8.42757,*,,,,22.9g,0.0,0,0,17,2,0,4,0
55,WISEA J030659.36-081309.1,46.74775,-8.21928,G,,,,22.7g,0.0,0,0,27,2,0,3,0
56,SDSS J030659.46-072522.1,46.74775,-7.42282,G,,,,22.3g,0.0,0,0,15,1,0,4,0
57,WISEA J030659.46-082630.1,46.74776,-8.44171,*,,,,20.2g,0.0,0,0,23,3,0,4,1
58,WISEA J030659.48-082639.8,46.74785,-8.4444,IrS,,,,     ,0.0,0,0,12,1,0,0,0
59,WISEA J030659.49-072712.5,46.74788,-7.45348,IrS,,,,     ,0.0,0,0,12,1,0,0,0
60,WISEA J030659.49-072441.3,46.74789,-7.41148,IrS,,,,     ,0.0,0,0,12,1,0,0,0
61,WISEA J030659.50-082801.1,46.74794,-8.46698,G,,,,23.2g,0.0,3,0,27,2,0,4,0
62,WISEA J030659.50-082834.1,46.74795,-8.47616,IrS,,,,     ,0.0,0,0,12,1,0,0,0
63,WISEA J030659.47-080139.9,46.74796,-8.02808,G,,,,22.7g,0.0,0,0,27,2,0,4,0
64,SDSSCGB 00063,46.74797,-7.46455,GGroup,36755.0,0.1226,SUN ,15.81,0.0,4,0,0,4,6,0,0
65,SDSS J030659.51-080946.0,46.748,-8.1628,G,,,,24.6g,0.0,0,0,15,1,0,4,0
66,WISEA J030659.52-081042.5,46.74803,-8.17848,G,,,,22.2g,0.0,0,0,27,2,0,4,0
67,WISEA J030659.52-073047.0,46.74803,-7.51307,IrS,,,,     ,0.0,0,0,12,1,0,0,0
68,WISEA J030659.55-072752.0,46.74805,-7.46454,G,36514.0,0.121799,SLS ,17.2g,0.0,19,0,62,10,9,10,1
69,WISEA J030659.53-073353.1,46.74807,-7.56477,UvS,,,,     ,0.0,0,0,16,2,0,0,0
70,WISEA J030659.53-082325.0,46.74807,-8.39029,IrS,,,,     ,0.0,0,0,12,1,0,0,0
71,WISEA J030659.55-072342.7,46.74812,-7.39521,G,,,,21.4g,0.0,0,0,27,2,0,4,0
72,WISEA J030659.53-075910.6,46.74826,-7.98613,G,,,,22.9g,0.0,0,0,27,2,0,4,0
73,WISEA J030659.58-074102.4,46.74829,-7.68402,IrS,,,,     ,0.0,0,0,12,1,0,0,0
74,SDSS J030659.59-072850.5,46.7483,-7.48071,G,,,,22.2g,0.0,0,0,15,1,0,4,0
